Parcela,Hacienda,Fibra_larga,Fibra_corta,Medula,Fibra_cana,Brix_cana,Sacarosa_cana,Name,Rep,Block,Ambiente
1,Balsora,37.88925137,8.217175783,53.89357285,12.55717815,17.14282185,15.47838262,S29,1,1,Balsora_1
2,Balsora,50.5402844,4.42514793,45.03456767,13.16821906,16.53178094,14.74612615,S165,1,1,Balsora_1
3,Balsora,31.83521595,7.8910299,60.27375415,8.987648705,16.41235129,14.1981408,S167,1,1,Balsora_1
4,Balsora,46.33220516,5.355373137,48.3124217,15.18005562,13.41994438,10.73494378,S123,1,1,Balsora_1
5,Balsora,41.63262609,9.011115828,49.35625809,10.46220821,18.53779179,17.12269591,S203,1,1,Balsora_1
6,Balsora,26.32388705,14.50195827,59.17415468,10.52642153,17.27357847,15.43981361,S49,1,2,Balsora_1
7,Balsora,28.19278383,9.63919162,62.16802455,11.31381498,16.98618502,14.94852833,S46,1,2,Balsora_1
8,Balsora,32.96923317,15.22991702,51.80084981,11.70000692,16.99999308,15.06296259,S44,1,2,Balsora_1
9,Balsora,28.34298694,13.3310619,58.32595116,12.47759217,17.52240783,15.89312543,S28,1,2,Balsora_1
10,Balsora,37.46268657,17.31343284,45.2238806,12.3643009,16.5356991,14.787729,S4,1,3,Balsora_1
11,Balsora,30.85663691,12.28264345,56.86071964,10.32551714,18.07448286,16.40607398,S172,1,3,Balsora_1
12,Balsora,37.95892017,9.702519495,52.33856034,15.5144288,17.5855712,16.05030162,S42,1,3,Balsora_1
13,Balsora,34.37744204,8.782669098,56.83988886,12.09389906,15.80610094,13.62368915,S93,1,3,Balsora_1
14,Balsora,37.49675513,9.912338505,52.59090637,12.30738503,18.59261497,16.99436965,S62,1,4,Balsora_1
15,Balsora,30.93693606,11.41052529,57.65253865,9.717485042,18.38251496,16.85694668,S142,1,4,Balsora_1
16,Balsora,41.16006281,19.09594206,39.74399513,24.46933654,8.230663463,5.017442014,S2,1,4,Balsora_1
17,Balsora,24.47283417,3.046855152,72.48031067,10.89821084,17.30178916,15.29754324,S13,1,4,Balsora_1
18,Balsora,42.62811509,5.804807577,51.56707733,14.24715277,17.85284723,16.11661619,S99,1,4,Balsora_1
19,Balsora,41.30412716,8.311171563,50.38470127,14.42184709,18.17815291,16.54920256,S85,1,5,Balsora_1
20,Balsora,24.13979951,12.46066315,63.39953734,13.13036332,18.46963668,16.80318209,S39,1,5,Balsora_1
21,Balsora,41.2165483,13.0061284,45.7773233,12.25609737,16.34390263,14.44547569,S159,1,5,Balsora_1
22,Balsora,41.8718286,4.273162939,53.85500846,9.961630365,15.53836964,13.35603467,S145,1,5,Balsora_1
23,Balsora,36.18515148,6.310406102,57.50444242,13.73685225,17.86314775,16.04513366,S50,1,6,Balsora_1
24,Balsora,31.7317586,4.874066121,63.39417528,12.53569483,17.46430517,15.69343672,S48,1,6,Balsora_1
25,Balsora,29.29020879,10.42520736,60.28458385,12.36784116,17.63215884,16.07062351,S170,1,6,Balsora_1
26,Balsora,42.40219975,2.68427717,54.91352308,10.69749514,19.50250486,18.30088655,S202,1,6,Balsora_1
27,Balsora,38.22580645,20,41.77419355,12.25509804,17.24490196,15.41359426,S177,1,7,Balsora_1
28,Balsora,35.13590553,14.32759849,50.53649598,11.17741122,18.22258878,16.52155017,S88,1,7,Balsora_1
29,Balsora,44.62690287,10.05467655,45.31842058,12.37318487,17.42681513,15.80415365,S47,1,7,Balsora_1
30,Balsora,34.38972765,17.56265766,48.04761469,10.66122771,17.73877229,16.15275363,S141,1,7,Balsora_1
31,Balsora,39.93506494,18.99350649,41.07142857,11.86646922,16.53353078,14.5517399,S80,1,7,Balsora_1
32,Balsora,31.37747021,13.07536733,55.54716246,10.53526077,17.66473923,16.09898978,S24,1,8,Balsora_1
33,Balsora,25.04195687,16.04011077,58.91793237,10.12492777,17.77507223,15.95845775,S168,1,8,Balsora_1
34,Balsora,43.41354598,8.324447884,48.26200614,13.54876773,16.35123227,14.37853679,S187,1,8,Balsora_1
35,Balsora,49.88888889,14.11111111,36,18.55110483,10.14889517,7.076233081,S156,1,8,Balsora_1
36,Balsora,38.73735568,9.560261614,51.7023827,7.287171892,17.91282811,16.08597756,S22,1,9,Balsora_1
37,Balsora,52.08073203,7.0705753,40.84869267,13.8137329,14.9862671,12.64746084,S104,1,9,Balsora_1
38,Balsora,45.94549182,12.51806298,41.53644521,15.99063419,13.70936581,11.34940761,S61,1,9,Balsora_1
39,Balsora,41.61666078,8.328315442,50.05502377,12.78530795,17.01469205,15.1898508,S87,1,9,Balsora_1
40,Balsora,24.4264049,6.7574682,68.8161269,11.92324545,18.57675455,16.98385802,S177,1,10,Balsora_1
41,Balsora,26.16918768,9.566386555,64.26442577,12.16965098,18.33034902,16.81501175,S15,1,10,Balsora_1
42,Balsora,40.46769367,6.731685692,52.80062064,11.58416878,13.61583122,10.6952903,S125,1,10,Balsora_1
43,Balsora,40.31430473,4.86055948,54.82513579,12.39891138,17.40108862,15.67198656,S36,1,10,Balsora_1
44,Balsora,26.1276633,11.48444678,54.22,13.04626523,17.35373477,15.5569626,S12,1,10,Balsora_1
45,Balsora,28.32347333,10.46056813,61.21595854,10.80756281,17.89243719,16.09171847,S73,1,11,Balsora_1
46,Balsora,29.27803586,15.02277879,55.69918535,12.12063084,17.57936916,16.03412009,S180,1,11,Balsora_1
47,Balsora,41.72613712,14.25702583,44.01683704,22.81522443,8.884775573,5.763730376,S106,1,11,Balsora_1
48,Balsora,37.4365784,9.858094181,52.70532741,10.68949355,16.61050645,14.78336202,S201,1,11,Balsora_1
49,Balsora,36.97975475,9.135309718,53.88493554,9.852282766,18.34771723,16.73108466,S214,1,12,Balsora_1
50,Balsora,39.42466934,5.363098074,55.21223258,7.712015876,18.08798412,16.08305278,S60,1,12,Balsora_1
51,Balsora,48.63624723,3.359228274,48.0045245,10.2295531,14.2704469,11.75978503,S162,1,12,Balsora_1
52,Balsora,34.6329699,5.222830729,60.14419937,7.513854266,16.38614573,14.26344582,S216,1,12,Balsora_1
53,Balsora,41.38414726,6.18485509,52.43099765,13.10888971,17.09111029,15.5257026,S64,1,13,Balsora_1
54,Balsora,52.45115642,5.877470149,41.67137343,15.83520621,14.86479379,12.69820979,S108,1,13,Balsora_1
55,Balsora,31.79447407,6.561318468,61.64420746,10.68802272,17.51197728,15.63695742,S107,1,13,Balsora_1
56,Balsora,29.45475897,8.423125967,62.12211506,11.8357715,15.8642285,13.68823907,S83,1,13,Balsora_1
57,Balsora,43.24351608,8.699134893,48.05734902,13.96762978,17.33237022,15.6318725,S67,1,13,Balsora_1
58,Balsora,30.10020555,8.016443988,61.88335046,13.98991824,15.51008176,13.19377251,S211,1,14,Balsora_1
59,Balsora,35.42636197,6.756037137,57.81760089,10.95017201,17.54982799,15.72558754,S197,1,14,Balsora_1
60,Balsora,42.15770302,9.631454896,48.21084208,13.67710619,12.32289381,9.377755498,S160,1,14,Balsora_1
61,Balsora,47.78100061,10.94478597,41.27421342,11.58411108,16.31588892,14.35424778,S128,1,14,Balsora_1
62,Balsora,33.32594047,8.81968589,57.85437364,11.83765739,16.76234261,14.87573346,S68,1,15,Balsora_1
63,Balsora,31.05304528,15.72303075,53.22392397,7.991197517,18.20880248,16.5438193,S20,1,15,Balsora_1
64,Balsora,32.12946763,7.18927411,60.68125826,12.89893621,15.90106379,13.76246674,S119,1,15,Balsora_1
65,Balsora,26.92244481,21.93349281,51.14406238,14.59435747,15.70564253,13.72342044,S9,1,15,Balsora_1
66,Balsora,35.38098295,11.14056707,53.47844997,11.94612429,18.85387571,17.58127163,S29,1,16,Balsora_1
67,Balsora,28.83557422,16.98586984,54.17855594,10.36999157,17.23000843,15.32913798,S183,1,16,Balsora_1
68,Balsora,41.20063792,7.294415352,51.50494673,11.99042872,17.90957128,16.44155393,S75,1,16,Balsora_1
69,Balsora,21.06355639,14.62637145,64.31007216,9.776306608,20.52369339,19.17479825,S56,1,16,Balsora_1
70,Balsora,31.91400863,7.364434423,60.72155695,13.14256909,17.95743091,16.20004697,S53,1,16,Balsora_1
71,Balsora,49.0043747,6.504551706,44.49107359,12.39125684,18.50874316,17.11963094,S92,1,17,Balsora_1
72,Balsora,34.77060365,8.931751336,56.29764501,12.86633478,16.43366522,14.37036626,S82,1,17,Balsora_1
73,Balsora,47.26909789,8.440690979,44.29021113,15.19972988,7.400270123,3.608332415,S110,1,17,Balsora_1
74,Balsora,38.12061134,11.93871588,49.94067279,12.43885844,18.46114156,17.08512172,S59,1,17,Balsora_1
75,Balsora,49.07866865,7.51531434,43.40601701,11.42006285,10.77993715,7.551056515,S221,1,18,Balsora_1
76,Balsora,49.65115905,3.985146127,46.36369482,15.56330651,8.736693491,5.280125071,S117,1,18,Balsora_1
77,Balsora,27.16609612,15.65958124,57.17432264,8.965970859,16.33402914,14.56845678,S43,1,18,Balsora_1
78,Balsora,41.47486689,5.615645831,52.90948728,10.68616562,17.81383438,16.10272761,S14,1,18,Balsora_1
79,Balsora,45.98843879,10.78296858,43.22859264,12.74781205,16.35218795,14.65862536,S29,1,19,Balsora_1
80,Balsora,33.58417824,6.657893274,59.75792849,13.57444485,15.82555515,13.86469756,S158,1,19,Balsora_1
81,Balsora,37.63038246,11.86719138,50.50242616,13.60368219,17.69631781,16.17365294,S171,1,19,Balsora_1
82,Balsora,44.08322727,5.561448169,50.35532457,16.35882131,14.44117869,12.3062023,S90,1,19,Balsora_1
83,Balsora,33.29023574,12.03662705,54.67313721,15.65813619,16.84186381,15.00189732,S175,1,19,Balsora_1
84,Balsora,30.82674209,16.5141509,52.659107,12.95638642,17.34361358,15.56585398,S120,1,20,Balsora_1
85,Balsora,38.40653492,10.01295876,51.58050632,11.26107975,16.83892025,14.88176088,S57,1,20,Balsora_1
86,Balsora,32.05608802,15.49310044,52.45081153,13.34738117,18.55261883,17.01209345,S185,1,20,Balsora_1
87,Balsora,41.17090165,10.1298898,48.69920854,15.34441016,14.45558984,12.06945379,S109,1,20,Balsora_1
88,Balsora,27.65078632,10.93922368,61.40998999,10.38746801,16.71253199,14.65785224,S192,1,21,Balsora_1
89,Balsora,34.61621283,1.524969168,63.858818,15.74860783,15.95139217,13.95227763,S194,1,21,Balsora_1
90,Balsora,26.91602144,8.538415724,64.54556284,9.239625635,18.06037436,16.4511639,S95,1,21,Balsora_1
