Hacienda,Corte,Ambiente,env,Parcela,Entry,Rep,Block,Variedad,Name,FS,FC,FE,Edad,env1,New,Treatn,Poblacion,Alt,Diam,N_Entre,L_Entre,L_Hojas,A_Hojas,N_Hojas_V,N_Hojas_S,TCH,IDD,periodo,Diseno,TCH1
Balsora,1,Balsora_1,Balsora_1_4.3,205,1,1,48,10-95,S1,42251,42667,42380,4.3,Balsora_1_4,,,22.5,179.5,,,,,,,,,2582,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,281,1,2,65,10-95,S1,42251,42667,42380,4.3,Balsora_1_4,,,18.4,202.7,,,,,,,,,2658,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,543,1,3,125,10-95,S1,42251,42667,42380,4.3,Balsora_1_4,,,19.8,235.6,,,,,,,,,2920,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,88,59,1,9,10-95,S1,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.94444444,,,,,145.6,4.27,,,,89,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,88,59,1,9,10-95,S1,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,13.38888889,358.9,1.93,17.2,16.2,152.5,4.76,,,,1145,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,16,2,1,4,19-95,S2,42251,42667,42380,4.3,Balsora_1_4,,,25.7,145.5,,,,,,,,,2393,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,253,2,2,58,19-95,S2,42251,42667,42380,4.3,Balsora_1_4,,,,129.5,,,,,,,,,2630,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,491,2,3,113,19-95,S2,42251,42667,42380,4.3,Balsora_1_4,,,24.9,135.8,,,,,,,,,2868,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,128,94,1,11,19-95,S2,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,18.22222222,,,,,156.5,4.68,,,,129,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,128,94,1,11,19-95,S2,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,11.88888889,330.1,2.91,20.6,15,155.6,6.151,,,,1185,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,94,3,1,22,43-78,S3,42251,42667,42380,4.3,Balsora_1_4,,,18.8,179,,,,,,,,,2471,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,398,3,2,92,43-78,S3,42251,42667,42380,4.3,Balsora_1_4,,,18.4,191.1,,,,,,,,,2775,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,480,3,3,111,43-78,S3,42251,42667,42380,4.3,Balsora_1_4,,,22.1,168,,,,,,,,,2857,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,100,109,1,8,43-78,S3,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.88888889,,,,,127.9,3.74,,,,101,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,100,109,1,8,43-78,S3,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,12.61111111,291.5,1.86,18.2,14.5,141.9,5.58,,,,1157,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,10,4,1,3,76 F 2515,S4,42251,42667,42380,4.3,Balsora_1_4,,,5.8,69,,,,,,,,,2387,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,276,4,2,64,76 F 2515,S4,42251,42667,42380,4.3,Balsora_1_4,,,8.4,89.6,,,,,,,,,2653,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,572,4,3,132,76 F 2515,S4,42251,42667,42380,4.3,Balsora_1_4,,,20.5,109.2,,,,,,,,,2949,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,171,77,1,15,76 F 2515,S4,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.44444444,,,,,145,4.39,,,,172,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,171,77,1,15,76 F 2515,S4,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,8.944444444,219.1,2.83,20.5,11.2,118.9,5.74,,,,1228,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,233,5,1,54,Apta 8,S5,42251,42667,42380,4.3,Balsora_1_4,,,12.7,91,,,,,,,,,2610,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,373,5,2,86,Apta 8,S5,42251,42667,42380,4.3,Balsora_1_4,,,14.3,135,,,,,,,,,2750,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,658,5,3,152,Apta 8,S5,42251,42667,42380,4.3,Balsora_1_4,,,15.9,109.4,,,,,,,,,3035,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,95,186,1,8,Apta 8,S5,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,9.055555556,,,,,131.3,5.61,,,,96,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,95,186,1,8,Apta 8,S5,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,7.777777778,341.5,3.21,17.4,14.5,132.1,3.9,,,,1152,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,153,6,1,36,Arundoid B,S6,42251,42667,42380,4.3,Balsora_1_4,,,19.9,83,,,,,,,,,2530,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,422,6,2,97,Arundoid B,S6,42251,42667,42380,4.3,Balsora_1_4,,,9.4,72.5,,,,,,,,,2799,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,623,6,3,144,Arundoid B,S6,42251,42667,42380,4.3,Balsora_1_4,,,15.7,86.2,,,,,,,,,3000,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,54,28,1,5,Arundoid B,S6,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.27777778,,,,,62.7,2.45,,,,55,4,AIBD,
