Hacienda,Corte,Ambiente,env,Parcela,Entry,Rep,Block,Variedad,Name,FS,FC,FE,Edad,env1,New,Treatn,Poblacion,Alt,Diam,N_Entre,L_Entre,L_Hojas,A_Hojas,N_Hojas_V,N_Hojas_S,TCH,IDD,periodo,Diseno,TCH1
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,88,59,1,9,oct-95,S1,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.94444444,,,,,145.6,4.27,,,,89,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,128,94,1,11,19-95,S2,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,18.22222222,,,,,156.5,4.68,,,,129,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,100,109,1,8,43-78,S3,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.88888889,,,,,127.9,3.74,,,,101,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,171,77,1,15,76 F 2515,S4,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.44444444,,,,,145,4.39,,,,172,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,95,186,1,8,Apta 8,S5,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,9.055555556,,,,,131.3,5.61,,,,96,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,54,28,1,5,Arundoid B,S6,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.27777778,,,,,62.7,2.45,,,,55,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,173,58,1,15,B 4362,S190,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.38888889,,,,,144.1,4.27,,,,174,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,178,134,1,15,Badila,S221,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.77777778,,,,,126.8,5.29,,,,179,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,9,198,1,1,Baroukha,S184,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,18.83333333,,,,,175,2.6,,,,9,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,255,44,1,22,Berlin,S7,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.38888889,,,,,126.3,3.64,,,,256,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,49,131,1,5,BT 65/282,S8,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.38888889,,,,,157.5,3.93,,,,50,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,247,187,1,21,CANE 8276,S163,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.27777778,,,,,152.1,4.34,,,,248,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,246,49,1,21,CC 00-2639,S10,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,15.05555556,,,,,139.4,3.8,,,,247,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,29,144,1,3,CC 00-2924,S11,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.55555556,,,,,163.8,4.03,,,,30,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,161,179,1,14,CC 00-3012,S193,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,13.22222222,,,,,119.5,3.46,,,,162,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,242,27,1,21,CC 00-3068,S12,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,6.222222222,,,,,127.3,4.94,,,,243,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,92,205,1,9,CC 00-3079,S13,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.16666667,,,,,166.8,5.27,,,,93,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,221,188,1,19,CC 00-3191,S14,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.44444444,,,,,148.8,4.18,,,,222,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,37,50,1,4,CC 00-3755,S170,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,9.555555556,,,,,135.6,4.42,,,,38,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,118,37,1,10,CC 00-3771,S192,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.05555556,,,,,145.3,4.133333333,,,,119,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,182,201,1,16,CC 01-1228,S15,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,17.27777778,,,,,166.9,4.68,,,,183,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,202,107,1,17,CC 01-1484,S16,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,13.88888889,,,,,163.7,4.79,,,,203,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,101,151,1,8,CC 01-1567,S17,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.5,,,,,153,4.14,,,,102,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,107,19,1,7,CC 01-174,S169,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.83333333,,,,,145.6,4.28,,,,108,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,179,24,1,15,CC 01-1789,S18,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,15.22222222,,,,,135.2,3.99,,,,180,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,156,192,1,13,CC 01-1817,S175,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.94444444,,,,,166.7,3.71,,,,157,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,133,99,1,12,CC 01-183,S168,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.61111111,,,,,160.7,4.57,,,,134,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,256,206,1,22,CC 01-1884,S194,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,9.555555556,,,,,134,4.12,,,,257,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,1,141,1,1,CC 01-1922,S176,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,13.22222222,,,,,139.5,5.43,,,,1,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,11,222,1,1,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,12.22222222,,,,,142,5.75,,,,11,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,21,222,1,2,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,11.11111111,,,,,143.4,4.67,,,,22,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,36,222,1,3,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,13.61111111,,,,,145.4,5.44,,,,37,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,41,220,1,4,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,12.61111111,,,,,149.7,5.41,,,,42,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,48,222,1,4,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,13.16666667,,,,,146.2,4.71,,,,49,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,53,222,1,5,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,13.88888889,,,,,142.8,5.44,,,,54,4,AIBD,
